S1	S2	S3
13	7	9
9	11	8
2	6	5
19	27	21
8	10	4
0	1	0
19	18	9
72	74	82
5	9	6
32	26	34
0	3	4
6	8	9
14	27	11
61	57	47
54	49	37
157	151	131
406	439	412
404	433	384
91	101	74
346	317	318
1750	2071	1610
15	14	6
7	8	9
39	38	33
43	50	37
356	367	316
306	330	276
2	1	6
6	3	4
5	5	4
20	9	9
8	15	11
22	36	31
47	42	38
7	7	10
15	19	19
18	19	10
36	29	25
5	5	5
11	3	8
92	85	76
27	44	31
132	122	124
485	509	412
387	454	370
2	2	0
102	96	88
80	91	73
136	117	122
12	0	1
27	28	29
78	83	79
80	52	48
124	148	122
34	59	31
9	3	8
5	5	3
17	17	17
0	0	1
1	0	2
13	15	15
1	3	2
0	0	0
44	45	29
19	27	32
38	38	29
226	257	220
183	159	162
269	221	230
16	16	9
101	84	76
47	35	31
3	4	1
8	11	8
177	165	180
30	30	38
102	112	97
7	5	2
1563	1590	1533
1	0	1
47	46	46
25	17	22
47	57	37
89	84	55
36	15	16
702	839	645
24	16	23
36	34	41
15	11	20
35	46	38
176	159	161
157	147	120
10	13	7
4	5	5
10	7	2
18	12	10
106	100	86
199	172	164
5	11	11
11	8	17
31	29	30
23	16	12
14	18	12
662	651	613
371	344	302
43	35	37
0	4	1
154	135	138
197	199	142
490	438	429
31	31	25
1096	1229	930
90	85	87
302	290	235
17	15	17
1	2	1
6	7	5
5	7	2
72	83	90
238	246	208
1694	1714	1438
56	65	59
785	835	790
90	94	102
11	17	15
17	15	4
3	12	6
7	19	12
17	21	16
22	25	13
22	25	20
4	3	2
11	13	9
23	26	24
73	73	79
16	19	15
9	7	7
14	16	10
33	35	22
9	13	5
19	22	18
79	98	85
113	121	95
33	52	37
134	168	114
2	1	2
14	15	13
0	1	1
1	0	1
1	0	0
532	619	504
2193	2206	1936
82	80	84
20	16	23
5	0	3
25	23	17
189	176	156
306	281	247
2	0	0
112	82	64
391	364	341
80	87	72
4	6	9
4	9	4
147	147	107
115	147	128
6	12	6
12	9	12
49	53	45
135	139	116
